"Stride (floats)","elements touched","tavg (ns) @ n=33554432"
1,33554432,0.727183
2,16777216,0.820842
4,8388608,1.569682
8,4194304,2.964926
16,2097152,6.033665
32,1048576,8.388487
64,524288,8.365419
128,262144,7.123193
256,131072,7.189999
512,65536,7.576937
1024,32768,8.571834
2048,16384,9.314027
4096,8192,10.720542
8192,4096,10.091006
16384,2048,10.069579
32768,1024,10.476750
65536,512,11.970943
131072,256,18.409252
262144,128,27.883535
524288,64,14.834544
1048576,32,11.062238
2097152,16,10.230655
4194304,8,5.283818
8388608,4,4.529095
16777216,2,1.873535
