N,Naive (ns),Tiled (ns),Transposed (ns),Cublas (ns),CPU 16 Thds OMP (ns)
8,427711,397758,389652,796957,1265897
16,385994,372002,367675,771907,31358
32,399489,377108,372880,1026053,244900
64,414568,391011,393377,1049656,73387
128,478911,441071,446020,1032502,396333
256,826793,832637,728188,2467703,3311997
512,3225963,2745714,2695675,8388171,37861950
1024,17290390,12258256,12050608,40281509,261899491
2048,109517025,79463776,75939358,96436570,2113693778
4096,854158044,575480071,564061658,751088687,102546955377
